,URL,Title,Type,Floorsize,Carpet_area,Price_per_sqft,Price,Status,No_Of_Bathrooms,Is_new,Description,Facing,Furnishing_status,Locality,About_locality,Amenities_list
0,https://www.makaan.com/mumbai/swaraj-homes-green-gate-apartment-in-bandra-west-20607465/3bhk-3t-1600-sqft-apartment,"1600 sq ft 3 BHK 3T West facing Apartment for sale at Rs 6.50 crore in Swaraj Homes Green Gate Apartment in Bandra West, Mumbai",3 BHK Apartment ,"1,600 sq ft",1260 sq ft,"40,625/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",65000000,Ready to move,3,Resale,"A 3 bhk property is available for sale in Swaraj Homes Green Gate Apartment, Bandra West, Mumbai. It has a salable area of 1600 sqft and is available at a price of Rs. 40,625 per sqft. It is facing west direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities.",West,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'AC', 'Gas connection', 'Intercom', 'Lift(s)']"
1,https://www.makaan.com/mumbai/reputed-builder-jolly-highrise-apartments-in-bandra-west-9109721/4bhk-4t-2100-sqft-apartment,"2100 sq ft 4 BHK 4T South facing Apartment for sale at Rs 13.00 crore in Reputed Builder Jolly Highrise Apartments 7th floor in Bandra West, Mumbai",4 BHK Apartment ,"2,100 sq ft",1655 sq ft,"61,904/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",130000000,Ready to move,4,,,South,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'Wardrobe', 'Gas connection', 'Wifi', '24 X 7 Security', 'Car Parking', 'Gymnasium', 'Lift(s)']"
2,https://www.makaan.com/mumbai/builder-project-in-bandra-west-20709841/3bhk-2t-1900-sqft-apartment,"1900 sq ft 3 BHK 2T NorthEast facing Apartment for sale at Rs 5.50 crore in Project in Bandra West, Mumbai",3 BHK Apartment ,"1,900 sq ft",1730 sq ft,"28,947/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",55000000,Ready to move,2,Resale,"3 BHK Apartment for sale in Bandra West, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Bandra West. It is on floor 5. The total number of floors is 8. It is a good, spacious Apartment unit with carpet area of 1730 Square feet. The built-up area is 1900 Square feet. There are 3 bedrooms and 2 bathroom. The property is North-East-facing. This building is equipped with lift. Other facilities include provisions for Intercom. This property also enjoys power backup facility. Regular water supply is available. This property is at a walking distance from Holy Family Multispeciality Hospital Bandra, Lilavati Hospital And Research Centre, and Ojas Eye Hospital. The city's best schools such as Bali Guitar Academy, St Joseph's Convent High School, Bandra west., and Duruelo Convent High School are near your residential property",NorthEast,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'AC', 'Gas connection', 'Intercom', 'Lift(s)']"
3,https://www.makaan.com/mumbai/builder-project-in-bandra-west-20865826/3bhk-3t-2080-sqft-apartment,"2080 sq ft 3 BHK 3T West facing Completed property Apartment for sale at Rs 11.00 crore in Project in Bandra West, Mumbai",3 BHK Apartment ,"2,080 sq ft",1300 sq ft,"52,884/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",110000000,Ready to move,3,New,"This spacious 3 bhk multistorey apartment is available for sale and is located in the heart of Bandra West. It has an area of 2080 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 11.00 cr . The house is unfurnished. It is facing west direction. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details.",West,Unfurnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Club House', 'Full Power Backup', 'Sports Facility', ""Children's play area"", 'Swimming Pool', 'Gas connection', 'Gymnasium', 'Intercom', 'Lift(s)']"
4,https://www.makaan.com/mumbai/s-raheja-z-16-phase-i-in-bandra-west-20850061/2bhk-782-sqft-apartment,"782 sq ft 2 BHK Apartment for sale at Rs 4.50 crore in S Raheja Z 16 Phase I in Bandra West, Mumbai",2 BHK Apartment ,782 sq ft,,"57,544/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",45000000,Under Construction,,New,"A 2 bhk property is available for sale in S Raheja Z 16 Phase I, Bandra West, Mumbai. It has an area of 782 sqft . The property is available at a price of Rs. 4.50 cr . The house is unfurnished. It has swimming pool. Other amenities include water conservation, rain water harvesting, car parking, fire fighting system, lift_available, storm water drains, electrical meter room, sub-station, receiving station, landscape garden and tree planting, solid waste management and disposal and cctv. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details.",,Unfurnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'Swimming Pool', 'Car Parking', 'Gymnasium', 'Lift(s)']"
5,https://www.makaan.com/mumbai/grace-group-neel-mahal-in-bandra-west-20722139/2bhk-2t-900-sqft-apartment,"900 sq ft 2 BHK 2T Apartment for sale at Rs 4.15 crore in Grace Neel Mahal in Bandra West, Mumbai",2 BHK Apartment ,900 sq ft,780 sq ft,"46,111/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",41500000,Ready to move,2,Resale,"Well Maintained Society. Good location. Excellent flat More About This Property One of the finest property in Bandra West is now available for sale. This is a 2 BHK Apartment. Make it yours now. It is on floor 6. It is a 8 storeyed building. This Apartment is spacious with a built-up area of 900 Square feet. The carpet area is 780 Square feet. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Other facilities include Intercom. This property also enjoys power backup facility. This project has regular water supply. This property ensures you are a quick distance away from the city's best schools such as Duruelo Convent High School, Bali Guitar Academy, and St Joseph's Convent High School, Bandra west.. It is also close to good and reputed hospitals like Ojas Eye Hospital, Holy Family Multispeciality Hospital Bandra, and Lilavati Hospital And Research Centre",,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'AC', 'Gas connection', 'Intercom', 'Lift(s)']"
6,https://www.makaan.com/mumbai/builder-project-in-bandra-west-21227723/3bhk-3t-1400-sqft-apartment,"1400 sq ft 3 BHK 3T West facing Completed property Apartment for sale at Rs 8.50 crore in Project in Bandra West, Mumbai",3 BHK Apartment ,"1,400 sq ft",1300 sq ft,"60,714/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",85000000,Ready to move,3,Resale,This spacious 3 bhk multistorey apartment is available for sale and is located in the heart of Bandra West. It has a built-up area of 1400 sqft and is priced at Rs. 8.50 cr . The house is semi-furnished. Its main door is facing west direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details.,West,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'BED', 'AC', 'Dining Table', 'Lift(s)']"
7,https://www.makaan.com/mumbai/lokhandwala-imperial-heights-in-bandra-west-17096034/4bhk-3t-5000-sqft-apartment,"5000 sq ft 4 BHK 3T East facing Apartment for sale at Rs 15.75 crore in Lokhandwala Imperial Heights 8th floor in Bandra West, Mumbai",4 BHK Apartment ,"5,000 sq ft",4500 sq ft,"31,500/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",157500000,Ready to move,3,,Well designed 4 bhk multistorey apartment is available at a prime location in Lokhandwala Imperial Heights. It has a built-up area of 5000 sqft and is priced at Rs. 15.75 cr (negotiable). The house is semi-furnished. The property is in a complex owned by a co-operative society. It is a 15 year old ready-to-move-in property.,East,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Full Power Backup', 'Vaastu Compliant', 'BED', ""Children's play area"", 'Wardrobe', 'AC', 'Staff Quarter', '24 X 7 Security', 'Car Parking', 'Gymnasium', 'Jogging Track', 'Intercom', 'Lift(s)']"
8,https://www.makaan.com/mumbai/builder-project-in-bandra-west-21172141/2bhk-2t-804-sqft-apartment,"804 sq ft 2 BHK 2T East facing Apartment for sale at Rs 4.24 crore in Project 2th floor in Bandra West, Mumbai",2 BHK Apartment ,804 sq ft,747 sq ft,"52,761/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",42420000,Under Construction,2,,"This spacious 2 bhk multistorey apartment is available for sale and is located in the heart of Bandra West. It has an area of 804 sqft with a carpet area of 747 sqft . The property is available at a price of Rs. 4.24 cr (negotiable ). The house is semi-furnished. It is on 2nd floor. The building has a total of 9 floor(s). It is east facing property. The property is available on freehold. This residential complex is under-construction as of now. The expected completion date is 31/12/2023. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details.",East,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,['AC']
9,https://www.makaan.com/mumbai/builder-project-in-bandra-west-20607381/2bhk-2t-1000-sqft-apartment,"1000 sq ft 2 BHK 2T West facing Completed property Apartment for sale at Rs 4.50 crore in Project in Bandra West, Mumbai",2 BHK Apartment ,"1,000 sq ft",900 sq ft,"45,000/ sq ft the price/ sq ft of this property is lower than the avg price/ sq ft of Bandra West",45000000,Ready to move,2,Resale,It has an area of 1000 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 4.50 cr . The house is semi-furnished. It is west facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details.,West,Semi-Furnished,Bandra West,About locality: Bandra West9.8Locality ScoreBandra is a suburb situated in the western part of the city is often termed as the Queen of Suburbs. It is divided into two parts Bandra East and Bandra West . Bandra West is a well-developed area...Know more about the Bandra West,"['Gas connection', 'AC']"
